"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2016,9,"AA","American Airlines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",146.00,19.00,7.38,1.00,6.19,0.00,4.43,0.00,0.00,1143.00,370.00,198.00,344.00,0.00,231.00,
2016,9,"AA","American Airlines Inc.","ALB","Albany, NY: Albany International",82.00,8.00,2.25,0.00,2.46,0.00,3.29,1.00,0.00,293.00,97.00,0.00,53.00,0.00,143.00,
2016,9,"AA","American Airlines Inc.","AMA","Amarillo, TX: Rick Husband Amarillo International",30.00,8.00,2.40,0.00,2.99,0.00,2.60,0.00,0.00,361.00,109.00,0.00,102.00,0.00,150.00,
2016,9,"AA","American Airlines Inc.","ANC","Anchorage, AK: Ted Stevens Anchorage International",30.00,5.00,3.59,0.00,1.41,0.00,0.00,0.00,0.00,281.00,222.00,0.00,59.00,0.00,0.00,
2016,9,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",1056.00,170.00,61.84,5.98,54.30,0.28,47.60,4.00,0.00,8330.00,2884.00,493.00,2146.00,15.00,2792.00,
2016,9,"AA","American Airlines Inc.","AUS","Austin, TX: Austin - Bergstrom International",744.00,135.00,39.94,4.73,36.58,0.00,53.74,0.00,0.00,8165.00,2668.00,378.00,1349.00,0.00,3770.00,
2016,9,"AA","American Airlines Inc.","BDL","Hartford, CT: Bradley International",323.00,65.00,22.49,2.31,25.20,0.00,15.00,0.00,0.00,3218.00,1404.00,209.00,811.00,0.00,794.00,
2016,9,"AA","American Airlines Inc.","BNA","Nashville, TN: Nashville International",476.00,60.00,24.53,1.04,16.93,0.00,17.50,0.00,0.00,3148.00,1066.00,72.00,813.00,0.00,1197.00,
2016,9,"AA","American Airlines Inc.","BOI","Boise, ID: Boise Air Terminal",92.00,7.00,2.43,0.00,3.18,0.00,1.39,1.00,0.00,267.00,79.00,0.00,110.00,0.00,78.00,
2016,9,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",2277.00,520.00,101.30,16.65,288.81,0.17,113.07,23.00,0.00,26646.00,5108.00,1055.00,13547.00,3.00,6933.00,
2016,9,"AA","American Airlines Inc.","BTV","Burlington, VT: Burlington International",1.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016,9,"AA","American Airlines Inc.","BUF","Buffalo, NY: Buffalo Niagara International",111.00,11.00,5.76,1.21,2.33,0.00,1.70,0.00,0.00,934.00,429.00,249.00,77.00,0.00,179.00,
2016,9,"AA","American Airlines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",455.00,77.00,32.85,7.07,21.50,0.72,14.86,0.00,0.00,3915.00,1817.00,389.00,825.00,82.00,802.00,
2016,9,"AA","American Airlines Inc.","CHS","Charleston, SC: Charleston AFB/International",63.00,6.00,1.95,1.00,1.73,0.59,0.72,0.00,0.00,316.00,154.00,55.00,61.00,20.00,26.00,
2016,9,"AA","American Airlines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",218.00,28.00,14.14,1.32,6.23,0.47,5.84,1.00,1.00,1556.00,924.00,50.00,271.00,7.00,304.00,
2016,9,"AA","American Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",7907.00,1044.00,265.04,41.84,395.29,3.69,338.14,44.00,10.00,57513.00,18132.00,3235.00,15058.00,219.00,20869.00,
2016,9,"AA","American Airlines Inc.","CMH","Columbus, OH: Port Columbus International",212.00,29.00,8.92,1.99,10.70,0.00,7.39,0.00,0.00,1519.00,620.00,75.00,315.00,0.00,509.00,
2016,9,"AA","American Airlines Inc.","COS","Colorado Springs, CO: City of Colorado Springs Municipal",118.00,17.00,5.69,1.00,5.62,0.00,4.69,0.00,0.00,831.00,195.00,80.00,158.00,0.00,398.00,
2016,9,"AA","American Airlines Inc.","DAY","Dayton, OH: James M Cox/Dayton International",47.00,8.00,3.02,2.00,2.10,0.00,0.88,0.00,0.00,260.00,70.00,66.00,87.00,0.00,37.00,
2016,9,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",2301.00,431.00,116.61,22.16,192.62,0.64,98.97,24.00,4.00,21462.00,5875.00,1741.00,7687.00,23.00,6136.00,
2016,9,"AA","American Airlines Inc.","DEN","Denver, CO: Denver International",867.00,134.00,43.72,10.11,38.90,0.00,41.28,0.00,0.00,6904.00,2277.00,572.00,1561.00,0.00,2494.00,
